row,hit_count,log10_hit,row_rms,pca_raw_1,pca_raw_2,pca_dir_1,pca_dir_2,umap_1,umap_2
1018969,26,1.4313637641589874,0.33345217,-0.44195357,-1.029158,0.13380653,1.2481171,2.4033697,10.054986
1976880,8,0.9542425094393249,0.16894968,0.09808068,-0.7601955,1.59491,1.1046629,2.5530803,11.480166
4860414,125,2.100370545117563,0.62866694,1.0909922,-0.8963004,0.0110615585,-0.65162665,5.258344,8.756941
4234051,82,1.919078092376074,0.490416,0.7187616,-0.44736323,-1.613927,2.3397336,4.6904707,9.206361
4564239,169,2.230448921378274,0.7514126,0.13608895,-0.028423455,0.08498926,-0.30278254,5.8079815,7.5310974
2201318,150,2.1789769472931693,0.5424422,1.3866507,-2.0734541,-1.2184657,1.2311432,2.1896987,11.054621
959684,7,0.9030899869919435,0.09406593,0.51914865,-0.49575308,-0.55275965,-0.5070104,1.8150187,11.047435
5515608,96,1.9867717342662448,0.46686724,-1.229581,-0.44315025,3.891083,0.96060795,4.660367,9.463736
172938,18507,4.267359490827859,1.839155,3.0251927,-3.688267,-0.9781045,2.1610556,2.1340687,9.445973
4637194,108,2.037426497940624,0.5108252,-1.4772671,0.134558,2.379098,-1.3458889,6.6959405,8.627304
1245721,26,1.4313637641589874,0.26907912,-0.4132507,-0.7275535,6.1839156,0.11672317,2.9930446,11.759804
