head_idx,ngram,hash_head,row,absolute_row,count,avg_gate,avg_output_norm,example_ngram_text
0,2,0,406451,406451,77,0.90117836,8449.03125000,. But
2,2,2,4723683,14683883,98,0.89135844,8447.94140625,. If
4,2,4,405875,20326315,77,0.90021235,8441.42089844,. But
3,2,3,2993031,17933344,70,0.92647076,8417.57128906,�\n
0,2,0,428714,428714,72,0.83185750,8410.73632812,. They
3,2,3,1176330,16116643,61,0.90475386,8409.36230469, However 
0,2,0,2882557,2882557,33,0.87172329,8408.45410156,�ve
6,3,0,2938287,32819057,71,0.89095002,8404.96972656,.\n�
11,3,5,1374961,56156692,45,0.89213163,8402.84472656,’re
6,3,0,4367427,34248197,33,0.88350725,8397.35839844,’ve
6,3,0,1375213,31255983,43,0.90234160,8369.29296875,’re
3,2,3,4613099,19553412,73,0.88584220,8362.92382812,. �
3,2,3,1069556,16009869,32,0.92313969,8328.21582031, you�
10,3,4,2436658,52238178,47,0.90378076,8320.05761719, DON’
1,2,1,2115478,7095575,59,0.91658586,8319.80566406, well as
0,2,0,4303734,4303734,34,0.91741341,8318.59863281,�m
2,2,2,2882493,12842693,33,0.86126709,8310.16601562,�ve
7,3,1,134859,34995808,35,0.85792673,8308.23730469, we’
1,2,1,2490319,7470416,157,0.77414006,8305.26171875,|\n
3,2,3,3358363,18298676,130,0.89654255,8303.31738281, said.
9,3,3,4126121,48947448,67,0.80092078,8286.82812500,I’
8,3,2,4648069,44489205,47,0.90163505,8284.59375000, DON’
4,2,4,1893911,21814351,107,0.92934781,8281.02343750,."\n
2,2,2,1106042,11066242,36,0.94455695,8278.71289062,. So
7,3,1,1791954,36652903,71,0.91815734,8272.12402344,. “
9,3,3,134811,44956138,35,0.92211509,8272.09765625, we’
11,3,5,4126037,58907768,65,0.82367158,8271.46191406,I’
1,2,1,1440847,6420944,74,0.87155551,8270.73828125, it.
6,3,0,4648141,34528911,47,0.87444007,8266.18066406, DON’
0,2,0,1177470,1177470,61,0.90177244,8260.22167969, However 
3,2,3,4303614,19243927,34,0.93816519,8258.10156250,�m
0,2,0,4352487,4352487,74,0.93256092,8256.08007812, I'm
4,2,4,1175038,21095478,61,0.89218199,8255.46093750, However 
3,2,3,2877847,17818160,73,0.86025417,8251.71093750, Are P
0,2,0,1894487,1894487,107,0.95312929,8245.97167969,."\n
0,2,0,2155887,2155887,62,0.87726325,8232.60644531, able to
5,2,5,4723347,29623948,98,0.86992669,8227.32812500,. If
3,2,3,2723655,17663968,44,0.90961516,8225.67089844, but I
7,3,1,4141983,39002932,55,0.93850332,8220.47070312,.\nI
1,2,1,365997,5346094,46,0.90138781,8200.72460938, and it
9,3,3,2436712,47258039,47,0.91457343,8193.32128906, DON’
